DOI,Title,Creators
10.5281/zenodo.1320810,Rdf2Vec Dbpedia Inverse Page Rank Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320211,RDF2Vec DBpedia predicate object frequency embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.2017356,RDF2Vec DBpedia uniform embeddings in HDF5 file format,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320081,Rdf2Vec Dbpedia Predicate Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.3482775,Uncovering the Semantics of Wikipedia Categories - Axioms and Assertions,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.1320015,RDF2Vec DBpedia object frequency embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320165,Kglove Dbpedia Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.4419708,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.2672882,Picker-routing problem instances,Amir Foroughi; Nils Boysen; Simon Emde; Michael Schneider
10.5281/zenodo.1320018,KGloVe DBpedia inverse object frequency embeddings,Michael Cochez; Petar Ristoski; Simone Paolo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320154,Kglove Dbpedia Predicate Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320152,KGloVe DBpedia inverse predicate frequency embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.3946462,TaxGraph - A Knowledge Graph of Multi-National Companies and their Relationships,Niklas Lüdemann; Ageda Shiba; Nikolaos Thymianis; Nicolas Heist; Christopher Ludwig; Heiko Paulheim
10.1257/rct.4577-1.0,Harnessing complementarities in the education production function,Jeffrey Livingston
10.1037/e518332013-658,Expanding Crossover Research: The Crossover of Job-Related Self-Efficacy Within Couples,Angela Neff; Cornelia Niessen; Sabine Sonnentag; Dana Unger
10.1257/rct.4406-2.0,The Effects of Decentralized and Video-based Extension on the Adoption of Integrated Soil Fertility Management – Experimental Evidence from Ethiopia,Denise Hörner
10.1257/rct.4406,The Effects of Decentralized and Video-based Extension on the Adoption of Integrated Soil Fertility Management – Experimental Evidence from Ethiopia,Denise Hörner
10.5281/zenodo.259352,Data for item-method directed forgetting and working memory capacity study,Ivan Marevic; Nina R. Arnold; Jan Rummel
10.5281/zenodo.1320000,Rdf2Vec Dbpedia Inverse Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.3484512,CaLiGraph - A large-scale semantic knowledge graph compiled from Wikipedia Categories and Listpages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.3519922,CaLiGraph - A large-scale semantic knowledge graph compiled from Wikipedia Categories and Listpages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.1320007,RDF2Vec DBpedia inverse predicate frequency embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320159,Kglove Dbpedia Inverse Predicate Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
